mac_address,eventtype,epocutc,zone,rssi,techtype
df553fd4a4280823c8f9cf7f96bca3af71ac83e06ee1fea6e40c9991,status,24-08-23 23:31,bz2453,-57,2
2b6848bd51d664d8585f9560e28161e47059fe1532f21966832d7dd6,status,24-08-23 23:31,bz2453,-59,2
afb499043c1867e55e2ba8d36848cdee473c1d79cfaf313c82e7f41e,status,24-08-23 23:31,bz2453,-51,2
0066d11b0cef6f9f5a9bfd0e4fc0b77229da6b661634ee796212529a,status,24-08-23 23:31,bz2453,-73,2
64fefe068f510c9e8ede44ddadaf80458fbfc5e62100cf6a5dfd6378,status,24-08-23 23:31,bz2453,-69,2
80fc4f4128f85d2be9f8e0838f17e29781593005e24609f2b5177b0d,status,24-08-23 23:31,bz2453,-65,2
e7b7049b01dcc98333efa0b568f1e0118d4d3aa6ba60dd6126050482,status,24-08-23 23:31,bz2453,-73,2
a36dbdc22e3486bf698a97b68d8c9eaf6c6b4107f69eb3caa7f27a3b,status,24-08-23 23:31,bz2453,-65,2
36f4378c74400067dd0ee3a3f9457ff217640d00a022de360708e968,status,24-08-23 23:31,bz2453,-61,2
ddcf6f6558d1496bb92f3462ad497c249585e6e1ffd8e455de39d98c,status,24-08-23 23:31,bz2453,-69,2
36c09eceec311bb204c903c4d59e538fdaf7098c14163350ac0922c1,status,24-08-23 23:31,bz2453,-61,2
01824fafd63d4d02453a1a91d8269a081f7b0942c3d3c679d09142af,status,24-08-23 23:31,bz2453,-73,2
deb0ad3466bf26f59f5025e8c0b5c397b8328f9d1cb220e3cfdf9e0f,status,24-08-23 23:31,bz2453,-83,2
fc9ab22638969690db031cc66ed53a772fc5ad12360f898a8879d1e3,status,24-08-23 23:31,bz2453,-63,2
df59e31e60f5d6cc93ead963b26bce964577693a411ef54f078c8c47,status,24-08-23 23:31,bz2453,-73,2
e075d2f7089988c635ac7a76def5b456f7b27e9582ed7bd6999fbc6e,status,24-08-23 23:31,bz2453,-63,2
4f7e3081814b5bf7f81e5decb752ca8d7059685b95854ab842efcace,status,24-08-23 23:31,bz2453,-53,2
a4113307364b52fbbaf10fd8652e531383a73bb202f3df6f865c2b16,status,24-08-23 23:31,bz2453,-59,2
313f8c7e0eda3ab864d42986fc18c4e41da64ae3a0f7bb176c1cbfaf,status,24-08-23 23:31,bz2453,-63,2
c1f0802d6e0a99ccac9673b5a058b8a9b1d9bb718329cffce3eba2af,status,24-08-23 23:31,bz2453,-71,2
