ATTACK ON ALL SESNORS,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Start Time (GMT+2),,Stop Time (GMT+2),,Location,,Affected Zone,,Total No. of Unique Devices at the given time window,No. of Spoof Records (Hits)
"August 24th, 2023 22:20",,"August 24th, 2023 22:33",,Safectory,,bz2454,,139,7
"August 24th, 2023 22:52",,"August 24th, 2023 23:06",,Gabelmann,,bz2452,,252,93
"August 24th, 2023 23:48",,"August 25th, 2023 00:05",,Touristeninformation,,bz2458,,152,132
"August 25th, 2023 00:59",,"August 25th, 2023 01:20",,Domkranz,,bz2457,,133,95
"August 25th, 2023 01:30",,"August 25th, 2023 01:49",,Sandstrasse,,bz2453,,108,72
