mac_address,eventtype,epocutc,zone,rssi,techtype
52f97e6728036f0d954a5b8f40478da753e8cfb1262401db2c9bd7ad,status,24-08-23 20:21,bz2454,-79,2
4b085bdc6c07eca7bc25d14c9a78f5aebd5e950ad1e4d89506f9df04,status,24-08-23 20:21,bz2454,-85,2
25f6af0cd2b6668aa1e9375d1600aa02c38b3b6b767c14d15bf4960e,status,24-08-23 20:21,bz2454,-81,2
5c9e896985420e3787a9969fdcb8bb066a77a3f6a1121e29b0988796,status,24-08-23 20:22,bz2454,-85,2
cb482dc39ae71bf46327be85f267658206a684a46b09320d246b97e0,status,24-08-23 20:22,bz2454,-83,2
7a2feafeaa3172db659db5953e5bc2444e68ce77661323d4921a2210,status,24-08-23 20:22,bz2454,-85,2
106ac2c4eb8adb150ae76ec185fd7aef8cd2697dac1a99835ea40d04,status,24-08-23 20:26,bz2454,-83,2
